# # Full elastic stiffness tensor vs temperature for Mg3Bi2 (P-3m1)
# # Columns:
# # T(K)  C11(GPa)  C22(GPa)  C33(GPa)  C12(GPa)  C13(GPa)  C23(GPa)  C44(GPa)  C55(GPa)  C66(GPa)  C14(GPa)  C15(GPa)  C16(GPa)  C24(GPa)  C25(GPa)  C26(GPa)  C34(GPa)  C35(GPa)  C36(GPa)  C45(GPa)  C46(GPa)  C56(GPa)
   300.0    64.11409   63.29259   71.17460   37.22169   25.77533   26.01373   16.31786   16.41933   13.93334    2.35947   -0.12928    0.32689   -2.50826   -0.13145    0.35509    0.09181   -0.02124   -0.06055    0.03766   -0.17900    2.16354
   400.0    63.66388   62.65971   70.03024   36.40916   26.59248   26.83648   16.37743   16.36541   12.68910    1.98823    0.25564   -0.03517   -2.16522    0.41578   -0.16470    0.17572    0.35837   -0.06316   -0.13231    0.04300    2.46584
   500.0    61.81566   61.76365   69.18148   36.93704   27.03497   27.48205   16.49829   16.12741   11.83224    2.32059   -0.50135   -0.15437   -2.06642   -0.39072    0.46835   -0.29197   -0.62222    0.33609   -0.13404    0.18388    2.43969
   600.0    60.72063   60.37716   68.61545   38.07021   26.72016   28.02681   16.26429   15.41031   11.36579    1.67224    0.08181    0.33231   -1.89183   -0.26192    0.31342    0.16517    0.11045    0.05547   -0.04421   -0.21861    2.31813
   700.0    58.76638   61.11495   66.59324   37.62476   28.30610   29.00510   14.99553   15.98264   11.50872    2.36653   -0.05178    0.25808   -2.18821    0.41354   -0.28923   -0.20224    0.33361   -0.57940    0.02227   -0.18610    1.79791
   800.0    60.74479   58.86868   67.35873   40.03448   29.78443   29.08779   14.85551   16.32360   10.49984    1.86374    0.34866   -0.43712   -1.85274    0.39665    0.87922   -0.42149   -0.43502    0.35463    0.19864    0.33610    1.35603
   900.0    58.25908   59.43628   65.49851   37.43202   29.03292   29.68490   15.25251   15.23707   10.97640    2.24043   -0.04256   -0.54630   -0.80309   -0.24944   -0.65945    0.20060    0.76452   -0.62997    0.17757   -0.93178    1.39404
  1000.0    56.70185   55.71757   65.35899   38.04233   31.27360   31.44762   14.57422   13.62213    8.23354    1.27587   -0.10089   -0.09907   -2.02728   -0.39329    0.12998    0.22641   -0.23749   -0.24209   -0.12916    0.25885    2.73517
