 &plot nbnd=  50, nks=   141 /
  -35.170  -35.168  -14.215  -14.209  -14.208  -14.205  -14.187  -14.184  -14.171  -14.171
  -14.162  -14.157   -3.332   -2.582    3.624    4.298    5.107    6.103    7.216    7.542
    8.893    9.863   10.667   11.194   11.821   12.411   12.925   12.956   13.914   14.771
   15.579   15.806   15.913   15.917   17.064   17.887   17.981   18.825   18.951   19.570
            0.300000  0.173205  0.000000
  -68.283  -67.745  -67.744  -35.694  -35.689  -35.689  -35.177  -35.177  -35.175  -35.171
  -35.170  -35.168  -14.215  -14.209  -14.208  -14.204  -14.187  -14.184  -14.171  -14.171
  -14.162  -14.157   -3.268   -2.566    3.731    4.097    4.922    6.023    7.034    7.491
    8.763    9.843   10.581   11.126   11.919   12.638   13.099   13.234   14.256   15.063
   15.421   15.767   16.099   16.209   17.328   17.909   18.325   18.856   18.955   19.522
            0.325000  0.187639  0.000000
  -68.283  -67.744  -67.744  -35.694  -35.689  -35.689  -35.177  -35.177  -35.176  -35.171
  -35.169  -35.168  -14.215  -14.209  -14.208  -14.204  -14.187  -14.184  -14.171  -14.170
  -14.163  -14.156   -3.203   -2.554    3.781    3.981    4.754    5.951    6.843    7.443
    8.648    9.813   10.502   11.064   12.038   12.764   13.393   13.529   14.590   15.192
   15.356   15.650   16.379   16.498   17.652   17.854   18.718   18.765   19.077   19.502
            0.350000  0.202073  0.000000
  -68.283  -67.744  -67.744  -35.694  -35.689  -35.689  -35.177  -35.177  -35.176  -35.171
  -35.169  -35.168  -14.216  -14.209  -14.209  -14.204  -14.187  -14.184  -14.170  -14.170
  -14.163  -14.156   -3.138   -2.546    3.674    4.051    4.604    5.888    6.648    7.399
    8.550    9.780   10.432   11.009   12.171   12.851   13.744   13.840   14.809   15.008
   15.589   15.638   16.638   16.776   17.819   18.002   18.679   18.906   19.210   19.581
            0.375000  0.216506  0.000000
  -68.283  -67.744  -67.744  -35.694  -35.689  -35.689  -35.177  -35.177  -35.176  -35.171
  -35.169  -35.168  -14.216  -14.209  -14.209  -14.203  -14.186  -14.183  -14.170  -14.169
  -14.164  -14.156   -3.075   -2.543    3.540    4.176    4.475    5.833    6.454    7.360
    8.467    9.749   10.372   10.961   12.316   12.928   14.109   14.163   14.677   14.992
   15.725   15.894   16.864   17.028   17.803   18.347   18.613   18.796   19.208   19.529
            0.400000  0.230940  0.000000
